incident_id,scraped_at_utc,orgao,data,hora,cidade,tipo,detalhe,local,viaturas,militares
bfe7cf6d47147279,2026-07-07T13:37:39Z,CBM,2026-07-06,13:33:37,UNIÃO DOS PALMARES,INCÊNDIO,Edificação - Manipulação de Explosivos,"RUA TAVARES BASTOS, UNIÃO DOS PALMARES-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
0458de26ca21468f,2026-07-07T13:37:39Z,CBM,2026-07-06,17:47:13,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RUA DONA MARIA JOSÉ CAVALCANTE, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,11 MILITARES EMPREGADOS.
1ab98dc44ccd8ed3,2026-07-07T13:37:39Z,CBM,2026-07-06,18:01:26,MACEIÓ,INCÊNDIO,Edificação - Comercial,"AVENIDA FERNANDES LIMA, MACEIÓ-AL",2 VIATURAS EMPREGADAS.,6 MILITARES EMPREGADOS.
7f111de68c88e654,2026-07-07T13:37:39Z,CBM,2026-07-06,18:17:22,ARAPIRACA,INCÊNDIO,Diversos - Outros Incêndios,"RUA JÚLIO PAIXÃO DA SILVA, 14, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
c6a8b7994cf2ad71,2026-07-07T13:37:39Z,CBM,2026-07-06,20:16:38,JAPARATINGA,INCÊNDIO,Vegetação - Rasteira/Terreno baldio,"RODOVIA AL - 101 NORTE, JAPARATINGA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
d60e66a33354836e,2026-07-08T12:05:12Z,CBM,2026-07-07,01:44:22,MACEIÓ,INCÊNDIO,Edificação - Outras Edificações,"RUA SANTA RITA, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
cfc35aed077e8e8f,2026-07-08T12:05:12Z,CBM,2026-07-07,17:59:46,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"ANTARES, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
2fdedd993cfc9c11,2026-07-08T12:05:12Z,CBM,2026-07-07,21:40:38,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"RUA PROFESSOR BENEDITO CUNEGUNDES, 45, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,5 MILITARES EMPREGADOS.
302a22ad65d4842f,2026-07-10T12:29:42Z,CBM,2026-07-09,11:20:51,MARAGOGI,INCÊNDIO,Edificação - Residencial,"RUA DO CAMPO, ABREU DO UNA, SÃO JOSÉ DA COROA GRANDE (PE), MARAGOGI-AL",2 VIATURAS EMPREGADAS.,6 MILITARES EMPREGADOS.
8120da40886d03d4,2026-07-10T12:29:42Z,CBM,2026-07-09,11:54:44,CRAÍBAS,INCÊNDIO,Meio de Transporte - Veículo de transporte coletivo,"POVOADO SÍTIO SANTA ROSA, CRAÍBAS-AL",2 VIATURAS EMPREGADAS.,8 MILITARES EMPREGADOS.
0ec11cfc12b0aa08,2026-07-10T12:29:42Z,CBM,2026-07-09,12:00:46,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RUA CORONEL PACHECO RAMALHO, 196, MACEIÓ-AL",4 VIATURAS EMPREGADAS.,14 MILITARES EMPREGADOS.
50b6b6f906078c3a,2026-07-10T12:29:42Z,CBM,2026-07-09,14:12:34,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RUA DA SAUDADE, MACEIÓ-AL",2 VIATURAS EMPREGADAS.,7 MILITARES EMPREGADOS.
a573a8449e55e69f,2026-07-10T12:29:42Z,CBM,2026-07-09,16:17:27,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"AVENIDA FERNANDES LIMA, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
aca30fea41afec33,2026-07-10T21:12:23Z,CBM,2026-07-09,23:13:00,COITÉ DO NÓIA,INCÊNDIO,Edificação - Residencial,"POV. INGAZEIRA, COITÉ DO NÓIA-AL",3 VIATURAS EMPREGADAS.,11 MILITARES EMPREGADOS.
9aae61550bd6301e,2026-07-11T08:16:23Z,CBM,2026-07-10,07:21:37,ARAPIRACA,INCÊNDIO,Diversos - Outros Incêndios,"RUA BELA VISTA, 205, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
423165c46a0818e3,2026-07-11T08:16:23Z,CBM,2026-07-10,08:32:04,DELMIRO GOUVEIA,INCÊNDIO,Edificação - Residencial,"RUA HUMBERTO CAMPOS, 88 - BAIRRO NOVO, DELMIRO GOUVEIA-AL",2 VIATURAS EMPREGADAS.,7 MILITARES EMPREGADOS.
0de25fdba028a968,2026-07-11T08:16:23Z,CBMAL,2026-07-10,14:42:20,RIO LARGO,INCÊNDIO,Vegetação - Rasteira/Terreno baldio,"LOTEAMNETO VILA RICA , RUA DOIS, QD G1 NUMERO B7 RIO LARGO, RIO LARGO-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
5dbac119a4f6e8b3,2026-07-11T08:16:23Z,CBM,2026-07-10,23:14:15,PENEDO,INCÊNDIO,Edificação - Residencial,"AVENIDA GUARANI, S/N, PENEDO-AL",3 VIATURAS EMPREGADAS.,9 MILITARES EMPREGADOS.
b8b10e2447815db9,2026-07-12T13:58:35Z,CBM,2026-07-11,11:36:42,MACEIÓ,INCÊNDIO,Meio de Transporte - Veículo de passeio,"AVENIDA EMPRESÁRIO JORGE MONTENEGRO DE BARROS, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
b7b7ea9f84ae172d,2026-07-12T13:58:35Z,CBM,2026-07-11,15:22:01,MARECHAL DEODORO,INCÊNDIO,Meio de Transporte - Veículo de passeio,"RODOVIA AL 101 SUL, MARECHAL DEODORO-AL",1 VIATURAS EMPREGADAS.,5 MILITARES EMPREGADOS.
3c6611be1d423e64,2026-07-12T13:58:35Z,CBM,2026-07-11,18:51:29,MACEIÓ,INCÊNDIO,Meio de Transporte - Veículo de passeio,"RESIDENCIAL MACEIO 1, QD I, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
3e1b39f91a3d40f8,2026-07-12T13:58:35Z,CBM,2026-07-11,20:28:44,DELMIRO GOUVEIA,INCÊNDIO,Vegetação - Mata/Floresta,"CISP DE DELMIRO, DELMIRO GOUVEIA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
2fdd8c1ae6217b04,2026-07-12T13:58:35Z,CBM,2026-07-12,05:08:59,MACEIÓ,INCÊNDIO,Edificação - Escolar,"AV JOÃO DAVINO, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,11 MILITARES EMPREGADOS.
1119c7693d212b3b,2026-07-14T03:38:49Z,CBM,2026-07-13,09:12:51,ARAPIRACA,INCÊNDIO,Meio de Transporte - Veículo de passeio,"RUA MARCELINO MAGALHAES, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
8e52bef3148e1ab5,2026-07-14T14:16:28Z,CBM,2026-07-13,15:56:41,ARAPIRACA,INCÊNDIO,Vegetação - Outras vegetações,"AVENIDA NOSSA SENHORA DAS GRAÇAS, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
864c20bf914fba80,2026-07-14T19:46:18Z,CBM,2026-07-13,16:53:35,SANTANA DO IPANEMA,INCÊNDIO,Vegetação - Outras vegetações,"SÍTIO BARRIGUDA, SANTANA DO IPANEMA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
fac5f53bae1d95f7,2026-07-14T19:46:18Z,CBM,2026-07-13,18:12:05,MACEIÓ,INCÊNDIO,Edificação - Outras Edificações,"LADEIRA DO CANAL 5, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,5 MILITARES EMPREGADOS.
6ed191dcc748efce,2026-07-15T08:37:52Z,CBM,2026-07-14,08:55:45,MARECHAL DEODORO,INCÊNDIO,Edificação - Residencial,"RUA DO CARRASCO, MARECHAL DEODORO-AL",1 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
226c83cf7a12b537,2026-07-15T08:37:52Z,CBM,2026-07-14,09:18:47,MARAGOGI,INCÊNDIO,Diversos - Outros Incêndios,"MARAGOGI, MARAGOGI-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
27dc3fedd5c1db0a,2026-07-15T08:37:52Z,CBM,2026-07-14,14:49:56,DELMIRO GOUVEIA,INCÊNDIO,Edificação - Comercial,"DELMIRO GOUVEIA, DELMIRO GOUVEIA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
8c37fe4b59831f99,2026-07-15T19:38:36Z,CBM,2026-07-15,00:34:10,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"RUA NOSSA SENHORA DA CONCEIÇÃO, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
0ac37a7babe0953d,2026-07-16T14:26:14Z,CBM,2026-07-15,13:59:36,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RECANTO DAS ESTRELAS, CASA 455, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,10 MILITARES EMPREGADOS.
59c4f27949c28879,2026-07-16T14:26:14Z,CBM,2026-07-15,20:28:29,ARAPIRACA,INCÊNDIO,Diversos - Outros Incêndios,"RUA PEDRO PEDROSA, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
4e287975c9a0aae8,2026-07-16T14:26:14Z,CBM,2026-07-15,23:27:18,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"AVENIDA JOSÉ AÍRTON GONDIM LAMENHA, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
